net,length_um
clknet_leaf_145_clk,139.425
_05720_,139.38
_07235_,139.32
_03950_,139.26
_02485_,139.2
_07197_,139.14
ex_mem_pipe_reg.Rd_Data_Out_PR\[4\],139.08
_08008_,138.9
_05333_,138.69
_07585_,138.67
_08028_,138.56
_07536_,138.55
_07570_,138.42
_05808_,138.36
_04107_,138.23
_07259_,138.175
rr_ex_pipe_reg.RF_D1_Out\[1\],138.14
_07168_,138.08
_07503_,137.96
_07534_,137.96
_05702_,137.95
_08383_,137.88
_06548_,137.72
_05196_,137.4
_06578_,137.28
_05590_,137.22
_06501_,137.1
_07550_,136.89
_07224_,136.75
_05174_,136.68
_03735_,136.66
_08001_,136.47
_06938_,136.26
_02315_,136.22
_05972_,135.98
_06486_,135.98
_05452_,135.96
_08243_,135.9
_07804_,135.76
_04586_,135.62
_06507_,135.57
_06917_,135.51
_04124_,135.49
_05304_,135.335
_03811_,135.24
_06706_,135.15
_06493_,134.97
_07337_,134.88
_05326_,134.625
_07137_,134.54
_08281_,134.5
_06339_,134.47
_06664_,134.46
_05767_,134.22
_05587_,134.19
clknet_leaf_232_clk,134.18
_07220_,134
_04184_,133.76
register_file.registerFile\[3\]\[3\],133.75
_02504_,133.74
_05582_,133.61
_06499_,133.45
bht_lut.pc_from_id\[5\],133.42
_06947_,133.3
_06374_,133.28
_05301_,133.185
_06488_,133.16
_07576_,133.04
rf_d3_addr_select.sel\[0\],132.78
_06480_,132.4
_04287_,132.32
_07859_,132.32
_05890_,132.31
_03858_,132.14
_04305_,132.115
_03899_,132.065
_04600_,132.03
_07532_,132.03
_05279_,132.02
_08231_,131.78
_06505_,131.76
_07968_,131.67
_03003_,131.66
_07545_,131.2
_04310_,131.1
_04295_,131.05
_07099_,131.04
_04059_,131.025
_03432_,130.98
_06613_,130.92
_04734_,130.84
_04147_,130.82
_02308_,130.8
_07189_,130.78
rr_ex_pipe_reg.RF_D1_Out\[4\],130.76
_03517_,130.75
rr_ex_pipe_reg.RF_D1_Out\[0\],130.72
_03223_,130.7
_04768_,130.68
_04791_,130.67
_07664_,130.58
_06479_,130.52
bht_lut.pc_from_ex\[15\],130.445
clknet_leaf_177_clk,130.14
_04251_,130.13
_05588_,129.96
_03280_,129.79
_04752_,129.62
_07626_,129.46
_02404_,129.44
_02427_,129.42
_06494_,129.41
_02563_,129.245
_07527_,129.24
_08245_,129.2
_06783_,129.02
_06224_,128.92
_06565_,128.9
_02446_,128.86
net514,128.68
_05681_,128.64
_02298_,128.58
_06396_,128.54
_03960_,128.52
rr_ex_pipe_reg.RF_D1_Out\[2\],128.49
_03613_,128.38
_06293_,128.38
_02565_,128.36
_07548_,128.23
_05617_,128.05
_03433_,128.04
register_file.registerFile\[2\]\[3\],127.92
_05747_,127.89
_04096_,127.84
_05583_,127.79
clknet_leaf_121_clk,127.715
_05672_,127.7
_06269_,127.57
_06689_,127.44
_04743_,127.27
bht_lut.pc_from_id\[3\],127.26
ex_mem_pipe_reg.Rd_Data_Out_PR\[6\],127.2
_07802_,127.08
clknet_leaf_117_clk,127.08
net591,127.06
_06393_,127.02
_07975_,127.01
_03712_,126.92
_05849_,126.88
_04838_,126.86
mem_wb_pipeline_reg.Rd_Data_Out_PR\[0\],126.835
_06652_,126.7
_06822_,126.5
_04060_,126.45
clknet_leaf_189_clk,126.36
register_file.registerFile\[3\]\[1\],126.35
_03435_,126.34
_06594_,126.295
_05731_,126.21
_05616_,126.12
alu_control.ALUControlIn\[0\],126.08
_04934_,125.98
_04597_,125.915
register_file.registerFile\[3\]\[0\],125.82
_06601_,125.78
_07150_,125.75
_06483_,125.62
_05306_,125.6
_04740_,125.44
_06306_,125.42
_06758_,125.055
_07594_,124.96
_06403_,124.85
_02235_,124.82
register_file.registerFile\[2\]\[1\],124.7
_06051_,124.56
bht_lut.pc_from_id\[8\],124.46
mem_wb_pipeline_reg.Rd_Data_Out_PR\[14\],124.43
_08228_,124.08
_07996_,124.06
_06497_,124.05
_06704_,124.02
_07633_,123.9
_04113_,123.86
_03210_,123.56
_05730_,123.53
_02573_,123.47
_03881_,123.455
_07556_,123.42
_06294_,123.25
_08086_,123.22
_04089_,123.14
_00034_,122.92
net515,122.86
_07190_,122.79
_08021_,122.67
_04114_,122.63
_06606_,122.54
_04882_,122.48
_03461_,122.4
clknet_leaf_144_clk,122.28
_06615_,122.06
ex_mem_pipe_reg.Rd_Data_Out_PR\[7\],122
_06039_,121.89
clknet_leaf_162_clk,121.6
_06134_,121.56
net337,121.52
_06342_,121.09
_04641_,120.94
clknet_leaf_211_clk,120.82
_07557_,120.63
_07581_,120.605
_06477_,120.44
_06013_,120.42
_07055_,120.36
clknet_leaf_207_clk,120.22
_03578_,120.18
_06597_,120.14
_05315_,119.99
_07171_,119.97
_02258_,119.96
_04231_,119.96
_04110_,119.92
_04216_,119.8
_06525_,119.68
_04830_,119.64
_05287_,119.62
_03997_,119.6
clknet_leaf_110_clk,119.55
_03221_,119.5
_05707_,119.395
_07185_,119.32
_03405_,119.16
_04713_,119.09
