net,length_um
clknet_leaf_149_clk,119.88
_03025_,119.78
_03794_,118.64
_05067_,118.62
clknet_leaf_44_clk,118.46
_03157_,117.77
clknet_3_6_0_clk,117.44
clknet_leaf_125_clk,117.4
_04114_,117.395
clknet_3_4_0_clk,117.11
_03820_,117.04
clknet_leaf_138_clk,116.94
clknet_3_3_0_clk,116.89
_02739_,116.72
clknet_leaf_113_clk,116.665
_06027_,115.66
_03522_,115.62
_03280_,115.58
_06088_,115.35
_04159_,115.33
_01097_,115.305
clknet_leaf_105_clk,115.24
_05436_,115.17
clknet_leaf_140_clk,115.16
clknet_leaf_9_clk,114.82
_06184_,114.72
_02504_,114.39
clknet_leaf_153_clk,114.21
_05079_,113.83
_03570_,113.54
_03903_,113.42
clknet_leaf_8_clk,113.2
_05087_,112.8
clknet_leaf_13_clk,112.78
clknet_leaf_29_clk,112.18
clknet_leaf_72_clk,112.18
_01703_,111.68
net93,111.57
_03286_,111.49
clknet_leaf_167_clk,111.24
clknet_leaf_97_clk,110.945
_03111_,110.74
clknet_leaf_0_clk,110.72
clknet_leaf_47_clk,110.64
clknet_leaf_31_clk,108.81
_03154_,108.61
clknet_leaf_6_clk,108.12
_03175_,107.9
_04311_,107.54
_03278_,107.455
_04268_,107.32
_05569_,107.255
_03925_,107.24
_05494_,106.66
_05328_,106.54
_02868_,106.52
_03875_,106.48
clknet_leaf_12_clk,106.41
_03293_,106.4
clknet_leaf_116_clk,106.34
clknet_leaf_172_clk,106.22
_03972_,106.04
_05556_,105.82
clknet_leaf_144_clk,105.72
clknet_leaf_20_clk,105.26
clknet_leaf_38_clk,105.08
_02834_,104.34
_05871_,104.075
rr_ex_reg.pc_next_out\[1\],104.01
clknet_3_0_0_clk,103.94
if_id_reg.Instr_Out\[2\],103.78
_04295_,103.77
rr_ex_reg.pc_next_out\[0\],103.74
clknet_leaf_102_clk,103.72
_02765_,103.605
_05874_,103.39
_05952_,103.08
clknet_leaf_14_clk,103.02
_03167_,102.96
_05731_,102.92
clknet_leaf_87_clk,102.79
_04938_,102.53
clknet_leaf_101_clk,102.44
net108,102.38
_03482_,102.22
_03478_,102.06
net26,101.94
clknet_leaf_74_clk,101.64
clknet_3_1_0_clk,101.46
_02867_,101.39
clknet_leaf_90_clk,101.36
clknet_3_5_0_clk,101.3
clknet_leaf_158_clk,101.04
rr_ex_reg.instr_out\[7\],100.545
rr_ex_reg.pc_next_out\[3\],100.12
rr_ex_reg.pc_next_out\[4\],100.12
_02757_,100.04
_04262_,100
_05458_,99.92
_04149_,99.66
clknet_leaf_49_clk,99.42
_02869_,99.3
rr_ex_reg.pc_next_out\[2\],99.04
_03156_,98.915
_04173_,98.87
clknet_leaf_93_clk,98.84
dmem.ram\[47\]\[3\],98.79
_06112_,98.765
clknet_leaf_73_clk,98.42
_03667_,98.21
_03765_,97.68
clknet_leaf_106_clk,97.62
rr_ex_reg.pc_next_out\[10\],97.46
_04097_,97.39
clknet_leaf_148_clk,97.36
_05030_,97.02
clknet_leaf_109_clk,96.88
_02761_,96.86
dmem.ram\[47\]\[5\],96.63
_04239_,96.54
clknet_leaf_129_clk,96.45
_02819_,96.38
clknet_leaf_155_clk,96.34
_04022_,96.25
clknet_leaf_21_clk,96.2
_05451_,96.04
clknet_leaf_95_clk,95.6
actl.reg_write_enable_in,95.49
_03372_,95.26
clknet_leaf_76_clk,95.08
_04964_,94.9
_05023_,94.68
clknet_leaf_59_clk,94.64
_03719_,94.3
_04954_,94.3
clknet_3_7_0_clk,94.22
_03387_,94.18
_01781_,94.16
_03822_,94.16
_05572_,94.06
_02488_,94.04
dmem.ram\[47\]\[8\],93.86
_02753_,93.615
id_rr_reg.instr_out\[12\],93.54
clknet_leaf_162_clk,92.98
clknet_leaf_103_clk,92.46
_03659_,92.38
_03542_,92.2
clknet_leaf_107_clk,91.44
net58,91.3
clknet_leaf_23_clk,91.235
net4,91.1
_03614_,90.99
clknet_leaf_156_clk,90.9
_05872_,90.84
_03152_,90.66
if_id_reg.Instr_Out\[3\],90.58
clknet_leaf_48_clk,90.46
clknet_leaf_164_clk,90.16
clknet_leaf_143_clk,90.14
clknet_leaf_11_clk,89.74
clknet_leaf_157_clk,89.64
_05717_,89.46
clknet_leaf_2_clk,89.42
_02745_,89.32
clknet_leaf_126_clk,89.32
clknet_leaf_91_clk,89.28
_02741_,89.18
clknet_leaf_160_clk,89.02
dmem.ram\[47\]\[7\],88.94
clknet_leaf_71_clk,88.9
_03664_,88.81
clknet_leaf_68_clk,88.38
clknet_leaf_163_clk,88.38
clknet_leaf_165_clk,88.16
net111,88.12
_05009_,87.9
_03568_,87.6
rr_ex_reg.instr_out\[12\],87.32
clknet_leaf_64_clk,87.32
_02436_,87.26
rr_ex_reg.instr_out\[13\],87.18
clknet_leaf_117_clk,87.01
clknet_leaf_145_clk,86.6
clknet_leaf_56_clk,86.34
_02733_,86.27
_02749_,86.21
_03270_,86.14
_03816_,86.14
_03516_,86.12
clknet_leaf_130_clk,86.1
clknet_leaf_132_clk,86.1
_05166_,86.04
clknet_leaf_141_clk,85.88
clknet_leaf_43_clk,85.87
clknet_leaf_16_clk,85.78
clknet_leaf_171_clk,85.7
clknet_leaf_147_clk,85.48
clknet_leaf_154_clk,85.46
_04098_,85.34
clknet_leaf_169_clk,85.21
clknet_leaf_60_clk,85.2
clknet_leaf_100_clk,85.02
clknet_leaf_62_clk,84.84
_04133_,84.8
clknet_leaf_108_clk,84.7
rr_ex_reg.instr_out\[8\],84.68
_05618_,84.66
_06133_,84.6
clknet_leaf_17_clk,84.52
dmem.ram\[47\]\[10\],84.28
clknet_leaf_25_clk,84.01
_04125_,83.76
rr_ex_reg.instr_out\[6\],83.64
id_rr_reg.instr_out\[14\],83.44
clknet_leaf_86_clk,83.2
clknet_leaf_114_clk,82.95
clknet_leaf_10_clk,82.85
clknet_leaf_161_clk,82.64
rr_ex_reg.instr_out\[15\],82.335
clknet_leaf_22_clk,82.28
if_id_reg.Instr_Out\[12\],82.22
dmem.ram\[47\]\[6\],82.18
_03815_,82.12
net90,82.04
id_rr_reg.instr_out\[7\],81.84
clknet_leaf_131_clk,81.66
clknet_leaf_151_clk,81.4
_02366_,81.36
_05624_,81.12
clknet_leaf_84_clk,80.9
_05600_,80.86
_04213_,80.79
_06019_,80.61
_02755_,80.56
clknet_leaf_30_clk,80.56
clknet_leaf_5_clk,80.42
if_id_reg.PC_Next_Out\[8\],80.17
clknet_leaf_27_clk,80.06
_02608_,79.82
clknet_leaf_134_clk,79.64
_04963_,79.5
net167,79.42
clknet_leaf_1_clk,79.16
_04994_,79.1
_02472_,78.605
_02262_,78.52
_01683_,78.48
clknet_leaf_28_clk,78.44
clknet_leaf_63_clk,78.32
_04326_,78
_02046_,77.94
clknet_leaf_127_clk,77.79
_04201_,77.64
clknet_leaf_67_clk,77.36
_04414_,77.34
id_rr_reg.instr_out\[6\],77.2
_02505_,77.12
_02555_,77.08
clknet_leaf_110_clk,76.68
_02751_,76.64
_02759_,76.54
if_id_reg.PC_Next_Out\[3\],76.54
dmem.ram\[47\]\[14\],76.28
_04117_,76.15
_02743_,75.72
_04347_,75.56
_02314_,75.46
mm_wb_reg.Rd_Data_Out_PR\[3\],75.16
dmem.ram\[47\]\[11\],75.06
_04034_,74.92
dmem.ram\[4\]\[14\],74.84
_05484_,74.82
clknet_leaf_37_clk,74.8
clknet_leaf_55_clk,74.72
_06031_,74.64
_02652_,74.54
id_rr_reg.instr_out\[13\],74.51
clknet_leaf_98_clk,74.36
clknet_leaf_4_clk,74.22
_02833_,74.1
if_id_reg.PC_Next_Out\[1\],74.1
if_id_reg.PC_Next_Out\[6\],73.9
_04172_,73.6
_02767_,73.56
net1414,73.46
rr_ex_reg.instr_out\[5\],73.38
clknet_leaf_121_clk,73.135
id_rr_reg.instr_out\[15\],73.015
clknet_leaf_122_clk,72.96
clknet_leaf_54_clk,72.92
clknet_leaf_66_clk,72.8
_03393_,72.76
clknet_leaf_70_clk,72.72
_04308_,72.62
dmem.ram\[7\]\[14\],72.62
net331,72.56
clknet_leaf_52_clk,72.24
net1492,72.19
dmem.ram\[47\]\[0\],72.12
_03392_,72.04
clknet_leaf_26_clk,72
clknet_leaf_94_clk,71.98
clknet_leaf_137_clk,71.96
_02166_,71.84
_04430_,71.8
_05176_,71.705
clknet_leaf_96_clk,71.26
_03576_,70.94
if_id_reg.Instr_Out\[13\],70.84
_03848_,70.78
clknet_leaf_111_clk,70.76
net102,70.74
_05674_,70.52
clknet_leaf_83_clk,70.32
_02123_,70.14
net662,70.13
_03618_,70.1
_05454_,70.06
_06147_,70
dmem.ram\[0\]\[6\],69.94
clknet_leaf_46_clk,69.88
dmem.ram\[27\]\[3\],69.48
_02470_,69.28
clknet_leaf_142_clk,69.18
_04026_,69.14
_04440_,69.14
clknet_leaf_61_clk,69.1
clknet_leaf_115_clk,69
_06136_,68.95
_04091_,68.88
_01946_,68.78
_02101_,68.5
_02418_,68.38
if_id_reg.Instr_Out\[7\],68.34
_05568_,68
_05997_,67.95
clknet_leaf_41_clk,67.9
clknet_leaf_173_clk,67.66
if_id_reg.Instr_Out\[14\],67.42
_04078_,67.4
net117,67.4
clknet_leaf_170_clk,67.38
clknet_leaf_123_clk,67.36
rr_ex_reg.instr_out\[14\],67.26
_04392_,67.07
_02747_,67.035
_04180_,66.98
_04101_,66.82
_03805_,66.77
_05189_,66.68
clknet_leaf_146_clk,66.64
clknet_leaf_45_clk,66.58
_05192_,66.5
_03823_,66.49
clknet_leaf_51_clk,66.48
dmem.ram\[4\]\[13\],66.44
_06113_,66.34
dmem.ram\[47\]\[1\],66.34
clknet_leaf_139_clk,66.3
_02678_,66.14
_04939_,66.08
clknet_leaf_120_clk,66.08
clknet_leaf_24_clk,66.04
net473,65.93
_02822_,65.9
_02201_,65.78
dmem.ram\[47\]\[4\],64.76
net42,64.72
_05539_,64.56
_05612_,64.54
if_id_reg.PC_Next_Out\[2\],64.48
_05179_,64.28
_05515_,64.16
_06123_,63.6
dmem.ram\[60\]\[6\],63.165
clknet_leaf_58_clk,63.1
net57,62.98
_05450_,62.86
_02062_,62.82
_03292_,62.74
clknet_leaf_81_clk,62.68
clknet_leaf_168_clk,62.6
net211,62.58
_02815_,62.24
_05509_,62.24
_04156_,62.12
dmem.ram\[47\]\[15\],62.02
dmem.ram\[46\]\[12\],61.96
_03435_,61.92
if_id_reg.Instr_Out\[1\],61.84
rr_ex_reg.RF_D1_Out\[12\],61.81
clknet_leaf_133_clk,61.76
_05866_,61.72
net207,61.56
_03337_,61.46
clknet_leaf_78_clk,61.46
_04204_,61.43
clknet_leaf_159_clk,61.42
dmem.ram\[51\]\[1\],61.3
_03369_,61.24
_06119_,61.16
dmem.ram\[60\]\[4\],61.065
dmem.ram\[19\]\[15\],61.05
_03611_,60.98
_06093_,60.91
dmem.ram\[62\]\[6\],60.75
